Timestamp,Humidity,Temprature,Pressure
2018-02-03 17:40:02,41.3596839905,33.0606193542,997.149169922
2018-02-03 17:50:02,41.2811660767,33.1339263916,997.197265625
2018-02-03 18:00:02,41.2309112549,32.9506568909,997.010742188
2018-02-03 18:10:02,40.6687088013,33.0789489746,996.954589844
2018-02-03 18:20:02,40.4143028259,32.9506568909,997.001464844
2018-02-03 18:30:02,39.7924232483,32.8956756592,996.892822266
2018-02-03 18:40:02,40.7283821106,32.9506568909,996.849609375
2018-02-03 18:50:02,40.389175415,33.0239639282,996.783691406
2018-02-03 19:00:01,40.9859275818,32.8406944275,996.733886719
2018-02-03 19:10:02,40.8822822571,33.188911438,996.741699219
2018-02-03 19:20:02,40.6153106689,33.2622184753,996.779052734
2018-02-03 19:30:02,40.5210876465,33.280544281,996.786376953
2018-02-03 19:40:02,40.2384185791,33.3538513184,996.76171875
2018-02-03 19:50:02,40.3577651978,33.3905067444,996.663330078
2018-02-03 20:00:02,41.205783844,33.3538513184,996.611083984
2018-02-04 05:10:02,53.8004150391,25.6381568909,0
2018-02-04 05:20:01,46.0614700317,28.6987781525,998.514892578
2018-02-04 05:30:01,43.2504501343,29.7800750732,998.434814453
2018-02-04 05:40:01,40.4457092285,30.6414470673,998.28125
2018-02-04 05:50:02,38.9286994934,30.861371994,998.061035156
2018-02-04 06:00:02,40.2227134705,31.1912593842,998.052978516
2018-02-04 06:10:02,40.0782356262,31.3745307922,997.970458984
2018-02-04 06:20:02,40.6467208862,31.3195495605,997.732666016
2018-02-04 06:30:02,39.7453079224,31.7593994141,997.591796875
2018-02-04 06:40:02,39.8897857666,31.6860904694,997.697753906
2018-02-04 06:50:02,39.0543327332,31.8327064514,997.413818359
2018-02-04 07:00:02,38.9286994934,31.9243431091,997.26171875
2018-02-04 07:10:02,39.9620246887,31.8693618774,997.083984375
2018-02-04 07:20:01,39.7484512329,32.0343055725,997.236328125
2018-02-04 07:30:02,39.4406509399,32.1809196472,996.906494141
2018-02-04 07:40:02,32.8323974609,32.1259384155,996.979980469
2018-02-04 07:50:02,32.3989639282,32.2175750732,996.862792969
2018-02-04 08:00:02,31.6797199249,32.400844574,996.740234375
2018-02-04 08:10:02,34.4310646057,32.400844574,996.401611328
2018-02-04 08:20:02,30.728055954,32.5474624634,996.374511719
2018-02-04 08:30:02,33.0616760254,32.7673873901,996.156494141
2018-02-04 08:40:02,34.3965187073,32.6574249268,996.158447266
2018-02-04 08:50:02,35.7941741943,33.0056381226,995.932617188
2018-02-04 09:00:02,34.3305587769,33.5187988281,995.978515625
2018-02-04 09:10:02,34.6320762634,33.8486862183,995.827880859
2018-02-04 09:20:02,34.3682479858,34.031955719,995.897949219
2018-02-04 09:30:02,34.4279251099,34.1785736084,995.968505859
2018-02-04 09:40:02,34.895904541,34.3251876831,995.642822266
2018-02-04 09:50:02,35.4486885071,33.7387237549,995.636474609
2018-02-04 10:00:02,35.3136329651,33.1156005859,995.458984375
2018-02-04 10:10:02,35.6528396606,33.0239639282,995.458251953
2018-02-04 10:20:02,35.4361228943,33.152256012,995.322998047
2018-02-04 10:30:02,35.4141387939,33.2072372437,995.317871094
2018-02-04 10:40:02,36.9248657227,33.2072372437,995.305908203
2018-02-04 10:50:02,36.2150421143,33.5371246338,995.224609375
2018-02-04 11:00:02,37.0379333496,33.3538513184,995.197265625
2018-02-04 11:10:02,36.9405708313,33.5921058655,995.257324219
2018-02-04 11:20:02,36.7081489563,33.5187988281,995.137939453
2018-02-04 11:30:02,36.9248657227,33.3905067444,994.979003906
2018-02-04 11:40:03,36.5573921204,33.5554504395,994.874023438
2018-02-04 11:50:02,36.9311485291,33.4271621704,995.044677734
2018-02-04 12:00:02,37.4933509827,33.4454879761,995.172119141
2018-02-04 12:10:02,38.0367126465,33.3538513184,995.354736328
2018-02-04 12:20:02,38.2691307068,33.9403190613,995.258789062
2018-02-04 12:30:02,37.5781555176,35.1132507324,995.305175781
2018-02-04 12:40:02,36.1208190918,35.5714263916,995.281982422
2018-02-04 12:50:02,35.869556427,35.6997184753,995.226806641
2018-02-04 13:00:02,35.426700592,35.8646621704,995.303955078
2018-02-04 13:10:02,36.0234527588,35.9196434021,995.464599609
2018-02-04 13:20:03,35.2508163452,35.9929504395,995.473632812
2018-02-04 13:30:02,35.2445335388,36.0112762451,995.709716797
2018-02-04 13:40:02,34.1609573364,36.1395683289,995.930175781
2018-02-04 13:50:02,33.9473800659,36.4511260986,995.822021484
2018-02-04 14:00:02,33.6552886963,36.5244369507,995.893798828
2018-02-04 14:10:02,32.8355369568,36.432800293,996.037109375
2018-02-04 14:20:02,32.5591468811,36.2312011719,996.133544922
2018-02-04 14:30:02,33.1213493347,36.0845870972,996.270507812
2018-02-04 14:40:02,32.0974464417,36.0662612915,996.254394531
2018-02-04 14:50:03,31.5289611816,36.506111145,996.2734375
2018-02-04 15:00:02,31.8618869781,36.7626876831,996.280761719
2018-02-04 15:10:02,31.3091049194,36.7810134888,996.258300781
2018-02-04 15:20:02,31.0327148438,36.7993431091,996.564941406
2018-02-04 15:30:02,31.2400074005,36.7810134888,996.361572266
2018-02-04 15:40:02,30.6212692261,36.9276313782,996.519042969
2018-02-04 15:50:02,30.2914829254,36.2495307922,996.666015625
2018-02-04 16:00:02,31.1395015717,36.1762237549,996.690917969
2018-02-04 16:10:02,31.7393951416,36.1578941345,996.820800781
2018-02-04 16:20:02,31.5854949951,36.0662612915,997.032714844
2018-02-04 16:30:02,32.1005897522,36.1212387085,996.885009766
